Gene_Symbol	Disease	Dataset	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
NCOR1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
DST	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CYLC1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
EXOC4	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
RACK1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
DNAH9	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
GABRB1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
NT5DC3	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
DST	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
PSMG4	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
P2RY14	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CTNND2	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CPNE5	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CHCHD3	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CHCHD3	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
DNAH9	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CTNND2	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
GABRB1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
TSC22D1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CTNND2	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CHCHD3	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CTNND2	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CTNND2	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
CRIM1	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
FEZ2	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
MELK	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
EXOC4	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
RAP1B	Metastatic secondary tumors	PBTA	1/4	25.00%	1/3	33.33%	0/1	0.00%
SORBS2	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
ADCK1	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
SORBS2	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
SORBS2	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
ADCK1	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
AC009126.1	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
FXNP1	Metastatic secondary tumors;Neuroblastoma	PBTA	1/3	33.33%	0/0		1/3	33.33%
AC087565.3	Neuroblastoma	GMKF	69/344	20.06%	69/209	33.01%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KIAA1549	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CFAP43	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CNTN4	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
7SK	Neuroblastoma	GMKF	4/344	1.16%	4/209	1.91%	0/0	
SFPQ	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FAM49A	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
FAM49A	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
HS1BP3	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
STAT5B	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AKIRIN1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ANK3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
HIF1A	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KANSL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
LRBA	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
LRFN2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NBEA	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PRKDC	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MALAT1	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
POLQ	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MAD1L1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PLPP5	Neuroblastoma	GMKF	3/344	0.87%	3/209	1.44%	0/0	
NRCAM	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KANSL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
KANSL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
KANSL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CTIF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NF1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
PVT1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
STK4	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
EXOC4	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
MKL1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NEK1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TAOK3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
IGF2R	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MAML2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BMPR1B	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
UBXN7	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CCND1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CCND1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
GAB2	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
GAB2	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
RBBP8	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
RN7SL2	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
LRRFIP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TNRC6C	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
LTBP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
LTBP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
EPHA5	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BCR	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BCR	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BCR	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AC068446.3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AL109924.3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
EML5	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
GAB2	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
NRCAM	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PPP2R5C	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
PPP2R5C	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
SSH2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SSH2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
LCOR	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RN7SL2	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CHD3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FAM49A	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
FAM49A	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
FAM49A	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
NRIP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
USP25	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
LCLAT1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
MAML2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BASP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BASP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FER	Neuroblastoma	GMKF	3/344	0.87%	3/209	1.44%	0/0	
MARCH3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MCC	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NSD1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RANBP17	Neuroblastoma	GMKF	3/344	0.87%	3/209	1.44%	0/0	
SEMA6A	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
UBE2D2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FYN	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
UNC79	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PLXNA4	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PLXNA4	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KRTAP5-AS1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CREBBP	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RAF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KIAA1549	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CCND1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CCND1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
MKL1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MKL1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ATRX	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PRPF8	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TRRAP	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NF1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
UBE2D2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
UBE2D2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
UBE2D2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZCCHC8	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
FOXO3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FOXO3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SMAD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SNX13	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
THBS1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NF1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
AL139099.5	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RN7SL1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AL359634.1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF718	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PRKAB1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
EPHA5	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CU104787.1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZFHX3	Neuroblastoma	GMKF	71/344	20.64%	71/209	33.97%	0/0	
BRAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
DGKB	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
EXOC4	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
JAZF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
JAZF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
JAZF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KIAA1549	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KIAA1549	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KMT2C	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
KMT2C	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
MAD1L1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RNF216	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
GNAS	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
GNAS	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
GNAS	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
THADA	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ABR	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
ABR	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
ABR	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CDC42BPA	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CREBBP	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NF1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
SRPK1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
SRPK1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
FAT3	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
JAZF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SPECC1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CAPN7	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
LPIN1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
NBAS	Neuroblastoma	GMKF	6/344	1.74%	6/209	2.87%	0/0	
RERE	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AKAP13	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SREBF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NR3C1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF407	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ABR	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
JAZF1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TCF12	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TCF12	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CDC42BPA	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUX1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AC092143.1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AIFM1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ATP2A2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CNOT1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ETNK2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MALAT1	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
MAP3K3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MYO5A	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PRMT3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
REV1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RPL37	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TMEM132A	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TUBB3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FAT3	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
THBS1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
KMT2C	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
NBEA	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
USP24	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
VPS13C	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PRKCE	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PRKCE	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
STAG1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KIAA1549	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ERC1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
ERC1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
FHL2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SRP68	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF540	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF540	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF571-AS1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF571-AS1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TRRAP	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MYT1L	Neuroblastoma	GMKF	4/344	1.16%	4/209	1.91%	0/0	
BCL2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
BIRC6	Neuroblastoma	GMKF	3/344	0.87%	3/209	1.44%	0/0	
C5orf24	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CTNNA1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CUTC	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
DDX46	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FAM208B	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
GANAB	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
GPR161	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
H3F3B	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
INVS	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MALAT1	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
MALAT1	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
MAP2K4	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MYO9B	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NDEL1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NUP153	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SYT11	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
TAOK1	Neuroblastoma	GMKF	3/344	0.87%	3/209	1.44%	0/0	
VASH1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ZNF91	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
DDX1	Neuroblastoma	GMKF	3/344	0.87%	3/209	1.44%	0/0	
MYT1L	Neuroblastoma	GMKF	4/344	1.16%	4/209	1.91%	0/0	
FARP2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FLII	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
HDLBP	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CHAMP1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ASTN2	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
FOXN3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FOXN3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
NBEA	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
HS1BP3	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CADM1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
CUL5	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
CWF19L2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
FAT3	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
FOXO3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MKL1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MMD2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MYCN	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
MYCN	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
OAF	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PCSK7	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
PHF14	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
RNA5SP347	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SIK2	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SORL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
SORL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
SORL1	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
TNRC6B	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ATRX	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
ATRX	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MALAT1	Neuroblastoma	GMKF	9/344	2.62%	9/209	4.31%	0/0	
DDX10	Neuroblastoma	GMKF	4/344	1.16%	4/209	1.91%	0/0	
PPP2R5C	Neuroblastoma	GMKF	2/344	0.58%	2/209	0.96%	0/0	
COL1A1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MLLT10	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MLLT10	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MLLT10	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
SIK3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
AL590094.1	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
EHD3	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
KMT2B	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
MREG	Neuroblastoma	GMKF	1/344	0.29%	1/209	0.48%	0/0	
