symbol	geneID	prevSymbols	synonyms	name	organism
SMARCB1	6598	SNF5L1	BAF47,INI1,SNR1,HSNFS,SFH1P,RDT,PPP1R144	SWI/SNF RELATED, MATRIX ASSOCIATED, ACTIN DEPENDENT REGULATOR OF CHROMATIN, SUBFAMILY B, MEMBER 1	human
CD200	4345	MOX1,MOX2	MRC,OX-2	CD200 MOLECULE	human
XXYLT1	152002	C3ORF21	FLJ35155	XYLOSIDE XYLOSYLTRANSFERASE 1	human
N4BP3	23138		LZTS4	NEDD4 BINDING PROTEIN 3	human
NFIC	4782	NFI	CTF,NF-I,CTF5	NUCLEAR FACTOR I C	human
AFDN	4301	MLLT4	AF-6,AF6	AFADIN, ADHERENS JUNCTION FORMATION FACTOR	human
FOXO4	4303	MLLT7	AFX1	FORKHEAD BOX O4	human
FOSB	2354		G0S3,GOSB,GOS3,AP-1,MGC42291,DKFZP686C0818	FOSB PROTO-ONCOGENE, AP-1 TRANSCRIPTION FACTOR SUBUNIT	human
LRIG1	26018		LIG-1,DKFZP586O1624,LIG1	LEUCINE RICH REPEATS AND IMMUNOGLOBULIN LIKE DOMAINS 1	human
SRGAP3	9901	SRGAP2	KIAA0411,MEGAP,WRP,ARHGAP14	SLIT-ROBO RHO GTPASE ACTIVATING PROTEIN 3	human
ROBO1	6091		DUTT1,FLJ21882,SAX3	ROUNDABOUT GUIDANCE RECEPTOR 1	human
MCPH1	79648		FLJ12847,BRIT1	MICROCEPHALIN 1	human
AKT3	10000		PKBG,RAC-GAMMA,PRKBG	AKT SERINE/THREONINE KINASE 3	human
THOC5	8563	C22ORF19	PK1.3,KIAA0983,FMIP,FSAP79	THO COMPLEX 5	human
EIF3E	3646	INT6,EIF3S6	EIF3-P48,EIF3E	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT E	human
PEG10	23089		KIAA1051,HB-1,MEF3L,RGAG3,MAR2,MART2	PATERNALLY EXPRESSED 10	human
BCL2L2	599		KIAA0271,BCL-W,PPP1R51	BCL2 LIKE 2	human
SEL1L	6400		IBD2,SEL1L1	SEL1L ERAD E3 LIGASE ADAPTOR SUBUNIT	human
ALG14	199857		MGC19780	ALG14, UDP-N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT	human
IRF4	3662	MUM1	LSIRF	INTERFERON REGULATORY FACTOR 4	human
TRIM37	4591	MUL	KIAA0898,POB1,TEF3	TRIPARTITE MOTIF CONTAINING 37	human
RASSF6	166824			RAS ASSOCIATION DOMAIN FAMILY MEMBER 6	human
TSG101	7251	TSG10	VPS23	TUMOR SUSCEPTIBILITY 101	human
HSP90AB1	3326	HSPC2,HSPCB		HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 1	human
C15ORF65	145788		FLJ27352	CHROMOSOME 15 OPEN READING FRAME 65	human
RAD9A	5883	RAD9		RAD9 CHECKPOINT CLAMP COMPONENT A	human
STK38L	23012		KIAA0965,NDR2	SERINE/THREONINE KINASE 38 LIKE	human
IRF1	3659		MAR	INTERFERON REGULATORY FACTOR 1	human
FLII	2314		FLI,FLIL,FLI1,MGC39265	FLII, ACTIN REMODELING PROTEIN	human
RBL1	5933		P107,CP107,PRB1	RB TRANSCRIPTIONAL COREPRESSOR LIKE 1	human
GPX1	2876			GLUTATHIONE PEROXIDASE 1	human
S1PR4	8698	EDG6		SPHINGOSINE-1-PHOSPHATE RECEPTOR 4	human
BMPR1A	657	ACVRLK3	ALK3,CD292	BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A	human
NFATC3	4775		NFAT4,NFATX	NUCLEAR FACTOR OF ACTIVATED T-CELLS 3	human
PADI2	11240		KIAA0994,PDI2	PEPTIDYL ARGININE DEIMINASE 2	human
MSH2	4436	COCA1	HNPCC,HNPCC1	MUTS HOMOLOG 2	human
FEV	54738		PET-1	FEV, ETS TRANSCRIPTION FACTOR	human
BAD	572		BCL2L8,BBC2	BCL2 ASSOCIATED AGONIST OF CELL DEATH	human
FOSL1	8061		FRA-1	FOS LIKE 1, AP-1 TRANSCRIPTION FACTOR SUBUNIT	human
RFX2	5990		FLJ14226	REGULATORY FACTOR X2	human
PAX6	5080	AN2	D11S812E,AN,WAGR	PAIRED BOX 6	human
NIN	51199			NINEIN	human
CDKN1C	1028	BWCR,BWS	P57,KIP2	CYCLIN DEPENDENT KINASE INHIBITOR 1C	human
ZNF239	8187		MOK2,HOK-2	ZINC FINGER PROTEIN 239	human
OBSCN	84033		KIAA1556,UNC89,KIAA1639,ARHGEF30	OBSCURIN, CYTOSKELETAL CALMODULIN AND TITIN-INTERACTING RHOGEF	human
RASSF1	11186		NORE2A,REH3P21,RDA32,123F2	RAS ASSOCIATION DOMAIN FAMILY MEMBER 1	human
HIST1H3B	8358	H3FL	H3/L	HISTONE CLUSTER 1 H3 FAMILY MEMBER B	human
FCGR2B	2213	FCG2,FCGR2	CD32,CD32B	FC FRAGMENT OF IGG RECEPTOR IIB	human
ESR1	2099	ESR	NR3A1,ERA	ESTROGEN RECEPTOR 1	human
RASSF2	9770		KIAA0168,CENP-34	RAS ASSOCIATION DOMAIN FAMILY MEMBER 2	human
HCK	3055		JTK9	HCK PROTO-ONCOGENE, SRC FAMILY TYROSINE KINASE	human
PPP1R1B	84152		DARPP-32,FLJ20940	PROTEIN PHOSPHATASE 1 REGULATORY INHIBITOR SUBUNIT 1B	human
CNR2	1269		CB2	CANNABINOID RECEPTOR 2	human
RAD23B	5887		HHR23B,P58,HR23B	RAD23 HOMOLOG B, NUCLEOTIDE EXCISION REPAIR PROTEIN	human
GAB2	9846		KIAA0571	GRB2 ASSOCIATED BINDING PROTEIN 2	human
FGF14	2259		FHF4,SCA27	FIBROBLAST GROWTH FACTOR 14	human
IQCE	23288		KIAA1023	IQ MOTIF CONTAINING E	human
CHIC2	26511		BTL	CYSTEINE RICH HYDROPHOBIC DOMAIN 2	human
PRDM16	63976		MEL1,PFM13,KIAA1675,MGC166915,KMT8F	PR/SET DOMAIN 16	human
SERPINB3	6317	SCC,SCCA1	T4-A,HST1196	SERPIN FAMILY B MEMBER 3	human
PKNOX1	5316		PREP1	PBX/KNOTTED 1 HOMEOBOX 1	human
AMOT	154796		KIAA1071	ANGIOMOTIN	human
SPPL3	121665		IMP2,PSL4,MGC90402,MGC126674,MGC126676,DKFZP586C1324	SIGNAL PEPTIDE PEPTIDASE LIKE 3	human
BCRP3	644165	BCR3,BCRL6,BCRL3		BREAKPOINT CLUSTER REGION PSEUDOGENE 3	human
VAV1	7409	VAV		VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 1	human
NOTCH3	4854	CADASIL	CASIL	NOTCH 3	human
TNFAIP1	7126	EDP1	B61,B12,MGC2317,BTBD34	TNF ALPHA INDUCED PROTEIN 1	human
ADAM12	8038		MCMPMLTNA,MLTN	ADAM METALLOPEPTIDASE DOMAIN 12	human
IL22	50616		ILTIF,IL-21,ZCYTO18,IL-TIF,IL-D110,TIFA,TIFIL-23,IL-22,MGC79382,MGC79384	INTERLEUKIN 22	human
TAP2	6891	ABCB3	PSF2,RING11,D6S217E	TRANSPORTER 2, ATP BINDING CASSETTE SUBFAMILY B MEMBER	human
MATK	4145		HYLTK,CTK,HYL,LSK,CHK,HHYLTK,DKFZP434N1212,MGC1708,MGC2101	MEGAKARYOCYTE-ASSOCIATED TYROSINE KINASE	human
ID2	3398		GIG8,BHLHB26	INHIBITOR OF DNA BINDING 2, HLH PROTEIN	human
UBL7	84993		BMSC-UBP,MGC14421	UBIQUITIN LIKE 7	human
ACVR2A	92	ACVR2	ACTRII	ACTIVIN A RECEPTOR TYPE 2A	human
SRPK2	6733		SFRSK2	SRSF PROTEIN KINASE 2	human
HDHD5	27440	CECR5		HALOACID DEHALOGENASE LIKE HYDROLASE DOMAIN CONTAINING 5	human
FOXL1	2300	FKHL11	FREAC7,FKH6	FORKHEAD BOX L1	human
RNF7	9616		SAG,ROC2,CKBBP1	RING FINGER PROTEIN 7	human
WNT5A	7474		HWNT5A	WNT FAMILY MEMBER 5A	human
SHBG	6462		ABP,TEBG,MGC126834,MGC138391	SEX HORMONE BINDING GLOBULIN	human
MTOR	2475	FRAP,FRAP2,FRAP1	RAFT1,RAPT1,FLJ44809	MECHANISTIC TARGET OF RAPAMYCIN	human
PPTC7	160760		TA-PP2C	PTC7 PROTEIN PHOSPHATASE HOMOLOG	human
CDC20	991		P55CDC,CDC20A	CELL DIVISION CYCLE 20	human
SERINC3	10955	TDE1	DIFF33,TDE,SBBI99,TMS-1,AIGP1	SERINE INCORPORATOR 3	human
TRAF4	9618		CART1,MLN62,RNF83	TNF RECEPTOR ASSOCIATED FACTOR 4	human
GADD45GIP1	90480		PLINP-1,MGC4667,MGC4758,CKBBP2,PRG6,PLINP1,CRIF1,CKBETABP2	GADD45G INTERACTING PROTEIN 1	human
INHA	3623			INHIBIN ALPHA SUBUNIT	human
TAL1	6886	TCL5	SCL,BHLHA17	TAL BHLH TRANSCRIPTION FACTOR 1, ERYTHROID DIFFERENTIATION FACTOR	human
AFF1	4299	PBM1,MLLT2	AF-4,AF4	AF4/FMR2 FAMILY MEMBER 1	human
SLC34A2	10568		NAPI-3B	SOLUTE CARRIER FAMILY 34 MEMBER 2	human
SEMA4B	10509	SEMAC	SEMC,KIAA1745,MGC131831	SEMAPHORIN 4B	human
NAPA	8775			NSF ATTACHMENT PROTEIN ALPHA	human
C2CD5	9847	KIAA0528	CDP138	C2 CALCIUM DEPENDENT DOMAIN CONTAINING 5	human
EHMT1	79813		EU-HMTASE1,FLJ12879,KIAA1876,BA188C12.1,KMT1D	EUCHROMATIC HISTONE LYSINE METHYLTRANSFERASE 1	human
MIR29A	407021	MIRN29,MIRN29A	HSA-MIR-29,HSA-MIR-29A	MICRORNA 29A	human
FAM212B	55924	C1ORF183	FLJ31105,INKA2	FAMILY WITH SEQUENCE SIMILARITY 212 MEMBER B	human
FGF13	2258		FHF2,FGF2	FIBROBLAST GROWTH FACTOR 13	human
PLAG1	5324		ZNF912	PLAG1 ZINC FINGER	human
MAFG	4097		MGC13090,MGC20149	MAF BZIP TRANSCRIPTION FACTOR G	human
PKM	5315	PKM2	THBP1,OIP3,PK3	PYRUVATE KINASE, MUSCLE	human
STAT5A	6776	STAT5	MGF	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 5A	human
PTCRA	171558		PTA,PT-ALPHA	PRE T-CELL ANTIGEN RECEPTOR ALPHA	human
MCM2	4171	CCNL1,CDCL1	D3S3194,KIAA0030,BM28,CDC19	MINICHROMOSOME MAINTENANCE COMPLEX COMPONENT 2	human
FOXG1	2290	FKHL2,FOXG1B,FKHL4,FKH2,FKHL1,FOXG1C,FKHL3,FOXG1A	HFK2,QIN,BF1,HFK1,HFK3,HBF-3	FORKHEAD BOX G1	human
RUVBL2	10856		RVB2,TIP48,TIP49B,REPTIN52,ECP51,TIH2,INO80J,RVB2	RUVB LIKE AAA ATPASE 2	human
S100B	6285		S100BETA	S100 CALCIUM BINDING PROTEIN B	human
MCF2	4168		DBL,ARHGEF21	MCF.2 CELL LINE DERIVED TRANSFORMING SEQUENCE	human
MOS	4342			MOS PROTO-ONCOGENE, SERINE/THREONINE KINASE	human
GTF2A1	2957		TFIIA	GENERAL TRANSCRIPTION FACTOR IIA SUBUNIT 1	human
CYR61	3491	IGFBP10	GIG1,CCN1	CYSTEINE RICH ANGIOGENIC INDUCER 61	human
XIRP1	165904	CMYA1	DKFZP451D042,XIN	XIN ACTIN BINDING REPEAT CONTAINING 1	human
NUMA1	4926			NUCLEAR MITOTIC APPARATUS PROTEIN 1	human
IL24	11009	ST16	MDA-7,IL10B,MOB-5,C49A,FISP,IL-24	INTERLEUKIN 24	human
RBM5	10181		LUCA15,H37	RNA BINDING MOTIF PROTEIN 5	human
LGR6	59352		FLJ14471	LEUCINE RICH REPEAT CONTAINING G PROTEIN-COUPLED RECEPTOR 6	human
NIPBL	25836		IDN3,DKFZP434L1319,FLJ11203,FLJ12597,FLJ13354,FLJ13648,SCC2	NIPBL, COHESIN LOADING FACTOR	human
FES	2242		FPS	FES PROTO-ONCOGENE, TYROSINE KINASE	human
HMGB1	3146	HMG1	HMG3,SBP-1,DKFZP686A04236	HIGH MOBILITY GROUP BOX 1	human
ENAH	55740		FLJ10773,NDPP1,MENA	ENABLED HOMOLOG (DROSOPHILA)	human
LRP5	4041	LRP7,OPPG,EVR1	LR3,BMND1,HBM,OPS,OPTA1,VBCH2,EVR4	LDL RECEPTOR RELATED PROTEIN 5	human
RSPO2	340419		MGC35555	R-SPONDIN 2	human
RARB	5915		HAP,NR1B2,RRB2	RETINOIC ACID RECEPTOR BETA	human
GDF10	2662		BMP-3B	GROWTH DIFFERENTIATION FACTOR 10	human
SH3GL1	6455		SH3P8,SH3D2B,CNSA1,EEN,MGC111371	SH3 DOMAIN CONTAINING GRB2 LIKE 1, ENDOPHILIN A2	human
FOXP3	50943	IPEX	JM2,XPID,AIID,PIDX,DIETER,SCURFIN	FORKHEAD BOX P3	human
CLU	1191	CLI,APOJ	SGP-2,SP-40,TRPM-2,KUB1,CLU1,CLU2	CLUSTERIN	human
TTLL3	26140		DKFZP434B103,HOTTL	TUBULIN TYROSINE LIGASE LIKE 3	human
FXYD5	53827		OIT2	FXYD DOMAIN CONTAINING ION TRANSPORT REGULATOR 5	human
ARHGEF4	50649		STM6,KIAA1112,ASEF	RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 4	human
MTMR3	8897		KIAA0371,ZFYVE10,FYVE-DSP1	MYOTUBULARIN RELATED PROTEIN 3	human
CDC42	998		G25K,CDC42HS	CELL DIVISION CYCLE 42	human
TNFRSF11A	8792	PDB2,LOH18CR1	RANK,CD265,FEO	TNF RECEPTOR SUPERFAMILY MEMBER 11A	human
BCAS4	55653		FLJ20495,CNOL	BREAST CARCINOMA AMPLIFIED SEQUENCE 4	human
CYLD	1540	CYLD1	KIAA0849,USPL2	CYLD LYSINE 63 DEUBIQUITINASE	human
RNF43	54894		FLJ20315,DKFZP781H0392,URCC	RING FINGER PROTEIN 43	human
TRAF7	84231	RFWD1	RNF119,DKFZP586I021,MGC7807	TNF RECEPTOR ASSOCIATED FACTOR 7	human
JAK3	3718		L-JAK,JAKL,LJAK,JAK3_HUMAN,JAK-3	JANUS KINASE 3	human
TRA	6955	TCRA,TRA@		T-CELL RECEPTOR ALPHA LOCUS	human
CHN1	1123	CHN,DURS2	RHOGAP2,ARHGAP2,N-CHIMERIN	CHIMERIN 1	human
RELA	5970	NFKB3	P65	RELA PROTO-ONCOGENE, NF-KB SUBUNIT	human
GSPT1	2935		GST1,ETF3A,ERF3A	G1 TO S PHASE TRANSITION 1	human
RAP2B	5912			RAP2B, MEMBER OF RAS ONCOGENE FAMILY	human
AFF3	3899	LAF4	MLLT2-LIKE	AF4/FMR2 FAMILY MEMBER 3	human
PAF1	54623		PD2,F23149_1,FLJ11123	PAF1 HOMOLOG, PAF1/RNA POLYMERASE II COMPLEX COMPONENT	human
VEPH1	79674		FLJ12604,KIAA1692	VENTRICULAR ZONE EXPRESSED PH DOMAIN CONTAINING 1	human
TRD	6964	TCRD,TRD@	TCRDV1	T-CELL RECEPTOR DELTA LOCUS	human
THRA	7067	THRA1,THRA2,ERBA1	EAR-7.1/EAR-7.2,THRA3,AR7,ERBA,NR1A1	THYROID HORMONE RECEPTOR, ALPHA	human
ZDHHC18	84243		DKFZP667O2416	ZINC FINGER DHHC-TYPE CONTAINING 18	human
PLA2G4A	5321	PLA2G4	CPLA2-ALPHA	PHOSPHOLIPASE A2 GROUP IVA	human
NR2F6	2063	ERBAL2	EAR-2	NUCLEAR RECEPTOR SUBFAMILY 2 GROUP F MEMBER 6	human
FGF7	2252		KGF	FIBROBLAST GROWTH FACTOR 7	human
EGF	1950			EPIDERMAL GROWTH FACTOR	human
CHD3	1107		MI-2A,ZFH,MI2-ALPHA	CHROMODOMAIN HELICASE DNA BINDING PROTEIN 3	human
WWOX	51741		FOR,WOX1,SDR41C1	WW DOMAIN CONTAINING OXIDOREDUCTASE	human
ENPP7	339221		ALK-SMASE,NPP7	ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE 7	human
GALNS	2588		GAS,GALNAC6S	GALACTOSAMINE (N-ACETYL)-6-SULFATASE	human
TP53BP2	7159		PPP1R13A,ASPP2,53BP2	TUMOR PROTEIN P53 BINDING PROTEIN 2	human
BRWD3	254065		FLJ38568,MRX93	BROMODOMAIN AND WD REPEAT DOMAIN CONTAINING 3	human
GLI1	2735	GLI		GLI FAMILY ZINC FINGER 1	human
DDX1	1653		DBP-RB	DEAD-BOX HELICASE 1	human
PDE4D	5144	DPDE3		PHOSPHODIESTERASE 4D	human
IL2	3558		IL-2,TCGF	INTERLEUKIN 2	human
DPH1	1801	DPH2L,DPH2L1	OVCA1	DIPHTHAMIDE BIOSYNTHESIS 1	human
RASL11B	65997			RAS LIKE FAMILY 11 MEMBER B	human
LIMK1	3984		LIMK	LIM DOMAIN KINASE 1	human
FGR	2268	SRC2	C-FGR,P55C-FGR	FGR PROTO-ONCOGENE, SRC FAMILY TYROSINE KINASE	human
CALCA	796	CALC1		CALCITONIN RELATED POLYPEPTIDE ALPHA	human
RGS1	5996	IER1	1R20,IR20,BL34	REGULATOR OF G-PROTEIN SIGNALING 1	human
SAG	6295		ARRESTIN,RP47	S-ANTIGEN VISUAL ARRESTIN	human
CHCHD7	79145		MGC2217,COX23	COILED-COIL-HELIX-COILED-COIL-HELIX DOMAIN CONTAINING 7	human
IGF2R	3482		CD222,MPRI,MPR1,CIMPR,M6P-R,CI-M6PR,CI-MPR,MPR300	INSULIN LIKE GROWTH FACTOR 2 RECEPTOR	human
AXL	558		UFO,JTK11,TYRO7,ARK	AXL RECEPTOR TYROSINE KINASE	human
PML	5371		MYL,TRIM19,RNF71	PROMYELOCYTIC LEUKEMIA	human
PIK3R2	5296		P85B,P85	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 2	human
NCOA6	23054		KIAA0181,RAP250,ASC2,AIB3,PRIP,TRBP,NRC	NUCLEAR RECEPTOR COACTIVATOR 6	human
MMP9	4318	CLG4B		MATRIX METALLOPEPTIDASE 9	human
PIK3R5	23533		P101-PI3K,P101	PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 5	human
CKS1B	1163		CKSHS1,CKS1	CDC28 PROTEIN KINASE REGULATORY SUBUNIT 1B	human
EBAG9	9166		EB9,RCAS1	ESTROGEN RECEPTOR BINDING SITE ASSOCIATED, ANTIGEN, 9	human
FOXA1	3169	HNF3A		FORKHEAD BOX A1	human
ARAF	369	ARAF1		A-RAF PROTO-ONCOGENE, SERINE/THREONINE KINASE	human
USP38	84640		KIAA1891,HP43.8KD	UBIQUITIN SPECIFIC PEPTIDASE 38	human
SLC22A23	63027	C6ORF85	FLJ22174	SOLUTE CARRIER FAMILY 22 MEMBER 23	human
TYMP	1890	MNGIE,ECGF1		THYMIDINE PHOSPHORYLASE	human
HNRNPK	3190	HNRPK	CSBP,TUNP	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN K	human
PRLR	5618			PROLACTIN RECEPTOR	human
MLLT10	8028		AF10	MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA; TRANSLOCATED TO, 10	human
CBLB	868		RNF56,CBL-B	CBL PROTO-ONCOGENE B	human
NFATC2	4773		NF-ATP,NFATP,NFAT1	NUCLEAR FACTOR OF ACTIVATED T-CELLS 2	human
NAB2	4665		MADER	NGFI-A BINDING PROTEIN 2	human
DLGAP1	9229		GKAP,SAPAP1,DAP-1	DLG ASSOCIATED PROTEIN 1	human
NFIX	4784		NF1A	NUCLEAR FACTOR I X	human
SETBP1	26040		SEB,KIAA0437	SET BINDING PROTEIN 1	human
NQO1	1728	NMOR1,DIA4	DHQU,QR1,DTD	NAD(P)H QUINONE DEHYDROGENASE 1	human
SDCCAG8	10806		NY-CO-8,CCCAP,SLSN7,NPHP10,BBS16	SEROLOGICALLY DEFINED COLON CANCER ANTIGEN 8	human
CD6	923		TP120	CD6 MOLECULE	human
MMP14	4323		MT1-MMP	MATRIX METALLOPEPTIDASE 14	human
STRN	6801		PPP2R6A,STRN1	STRIATIN	human
KCNH1	3756		KV10.1,EAG,H-EAG,EAG1	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY H MEMBER 1	human
MTCP1	4515		P13MTCP1,P8MTCP1	MATURE T-CELL PROLIFERATION 1	human
CAMTA1	23261		KIAA0833	CALMODULIN BINDING TRANSCRIPTION ACTIVATOR 1	human
USP4	7375	UNP	UNPH	UBIQUITIN SPECIFIC PEPTIDASE 4	human
CNTN6	27255		NB-3	CONTACTIN 6	human
MYCLP1	4611	MYCL2,MYCL1P1		MYCL PSEUDOGENE 1	human
RARRES1	5918		TIG1,LXNL	RETINOIC ACID RECEPTOR RESPONDER 1	human
TCF12	6938		HEB,HTF4,HST17266,BHLHB20	TRANSCRIPTION FACTOR 12	human
KRT73	319101		KRT6IRS3,K6IRS3	KERATIN 73	human
CCNT1	904	HIVE1	CCNT,CYCT1	CYCLIN T1	human
ARHGEF12	23365		KIAA0382,LARG	RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 12	human
SWAP70	23075		KIAA0640,SWAP-70	SWAP SWITCHING B-CELL COMPLEX SUBUNIT 70	human
CKS2	1164			CDC28 PROTEIN KINASE REGULATORY SUBUNIT 2	human
PRKCD	5580			PROTEIN KINASE C DELTA	human
HLF	3131		MGC33822	HLF, PAR BZIP TRANSCRIPTION FACTOR	human
TAB3	257397	MAP3K7IP3		TGF-BETA ACTIVATED KINASE 1 AND MAP3K7 BINDING PROTEIN 3	human
NLE1	54475		FLJ10458	NOTCHLESS HOMOLOG 1	human
HES1	3280	HRY	FLJ20408,HES-1,HES1,BHLHB39	HES FAMILY BHLH TRANSCRIPTION FACTOR 1	human
ABCB1	5243	PGY1,MDR1,CLCS	P-GP,CD243,GP170,ABC20	ATP BINDING CASSETTE SUBFAMILY B MEMBER 1	human
HNRNPA2B1	3181	HNRPA2B1		HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A2/B1	human
MPPE1	65258			METALLOPHOSPHOESTERASE 1	human
TFF3	7033		HITF,ITF	TREFOIL FACTOR 3	human
MAP2K1	5604	PRKMK1	MEK1,MAPKK1	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1	human
CCND2	894			CYCLIN D2	human
STAT5B	6777			SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 5B	human
TRIM24	8805	TIF1	HTIF1,TIF1A,RNF82,TIF1A	TRIPARTITE MOTIF CONTAINING 24	human
GML	2765		LY6DL	GLYCOSYLPHOSPHATIDYLINOSITOL ANCHORED MOLECULE LIKE	human
NEURL3	93082		LINCR,LOC93082	NEURALIZED E3 UBIQUITIN PROTEIN LIGASE 3	human
CDK2	1017			CYCLIN DEPENDENT KINASE 2	human
FBXL7	23194		KIAA0840,FBL7,FBL6	F-BOX AND LEUCINE RICH REPEAT PROTEIN 7	human
NBN	4683	NBS,NBS1	ATV,AT-V2,AT-V1	NIBRIN	human
KDM5C	8242	SMCX,JARID1C,MRX13	DXS1272E,XE169	LYSINE DEMETHYLASE 5C	human
IGFBP7	3490		MAC25,IGFBP-7,PSF,FSTL2	INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 7	human
TFEB	7942		TCFEB,BHLHE35	TRANSCRIPTION FACTOR EB	human
IKZF2	22807	ZNFN1A2	HELIOS	IKAROS FAMILY ZINC FINGER 2	human
ATM	472	ATA,ATDC,ATC,ATD	TEL1,TELO1	ATM SERINE/THREONINE KINASE	human
ARHGAP9	64333		MGC1295,10C	RHO GTPASE ACTIVATING PROTEIN 9	human
FBXW4	6468	SHFM3	FBW4,DACTYLIN	F-BOX AND WD REPEAT DOMAIN CONTAINING 4	human
P2RX7	5027		P2X7,MGC20089	PURINERGIC RECEPTOR P2X 7	human
VAV3	10451			VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3	human
ACSL6	23305	FACL6	KIAA0837,ACS2,LACS5,LACS2	ACYL-COA SYNTHETASE LONG-CHAIN FAMILY MEMBER 6	human
ELMO1	9844		KIAA0281,CED12,ELMO-1,CED-12	ENGULFMENT AND CELL MOTILITY 1	human
HNF1A	6927	MODY3,TCF1	HNF1,LFB1	HNF1 HOMEOBOX A	human
USP15	9958		KIAA0529,UNPH4	UBIQUITIN SPECIFIC PEPTIDASE 15	human
RASAL2	9462		NGAP	RAS PROTEIN ACTIVATOR LIKE 2	human
HIPK2	28996			HOMEODOMAIN INTERACTING PROTEIN KINASE 2	human
ROR2	4920	NTRKR2,BDB,BDB1		RECEPTOR TYROSINE KINASE LIKE ORPHAN RECEPTOR 2	human
GSTT1	2952			GLUTATHIONE S-TRANSFERASE THETA 1	human
HEY1	23462		HESR-1,CHF2,HESR1,HRT-1,CHF-2,HERP2,BHLHB31	HES RELATED FAMILY BHLH TRANSCRIPTION FACTOR WITH YRPW MOTIF 1	human
CDK20	23552	CCRK	P42	CYCLIN DEPENDENT KINASE 20	human
PTH	5741		PTH1	PARATHYROID HORMONE	human
ACSL5	51703	FACL5	ACS5,ACS2	ACYL-COA SYNTHETASE LONG-CHAIN FAMILY MEMBER 5	human
IL2RG	3561	SCIDX1,IMD4,CIDX	CD132	INTERLEUKIN 2 RECEPTOR SUBUNIT GAMMA	human
GSE1	23199	KIAA0182		GSE1 COILED-COIL PROTEIN	human
KDR	3791		FLK1,VEGFR,VEGFR2,CD309	KINASE INSERT DOMAIN RECEPTOR	human
ESR2	2100		NR3A2,ERB	ESTROGEN RECEPTOR 2	human
TET1	80312	CXXC6	LCX,KIAA1676,BA119F7.1	TET METHYLCYTOSINE DIOXYGENASE 1	human
BUB1B	701		BUBR1,MAD3L,BUB1A,SSK1	BUB1 MITOTIC CHECKPOINT SERINE/THREONINE KINASE B	human
ANXA1	301	ANX1,LPC1		ANNEXIN A1	human
KLF4	9314		EZF,GKLF	KRUPPEL LIKE FACTOR 4	human
PLEKHA2	59339		TAPP2	PLECKSTRIN HOMOLOGY DOMAIN CONTAINING A2	human
MNAT1	4331		MAT1,RNF66	MNAT1, CDK ACTIVATING KINASE ASSEMBLY FACTOR	human
CHGA	1113			CHROMOGRANIN A	human
CD46	4179	MIC10,MCP	TRA2.10,MGC26544,TLX	CD46 MOLECULE	human
RHOA	387	ARH12,ARHA	RHOA,RHO12,RHOH12	RAS HOMOLOG FAMILY MEMBER A	human
IGFALS	3483		ALS	INSULIN LIKE GROWTH FACTOR BINDING PROTEIN ACID LABILE SUBUNIT	human
GNA11	2767	HHC2	FBH,FBH2,FHH2	G PROTEIN SUBUNIT ALPHA 11	human
PRF1	5551		PFP,P1,HPLH2	PERFORIN 1	human
VAC14	55697	TAX1BP2	FLJ10305,ARPIKFYVE	VAC14, PIKFYVE COMPLEX COMPONENT	human
DTX3	196403		FLJ34766,RNF154	DELTEX E3 UBIQUITIN LIGASE 3	human
WRN	7486		RECQL2,RECQ3	WERNER SYNDROME RECQ LIKE HELICASE	human
BRE	9577		BRCC45,BRCC4	BRAIN AND REPRODUCTIVE ORGAN-EXPRESSED (TNFRSF1A MODULATOR)	human
LCK	3932			LCK PROTO-ONCOGENE, SRC FAMILY TYROSINE KINASE	human
RFX5	5993			REGULATORY FACTOR X5	human
RNF139	11236		TRC8,RCA1,HRCA1	RING FINGER PROTEIN 139	human
FNBP1	23048		FBP17,KIAA0554	FORMIN BINDING PROTEIN 1	human
SDHC	6391	PGL3	CYB560,CYBL	SUCCINATE DEHYDROGENASE COMPLEX SUBUNIT C	human
MACROD1	28992		LRP16	MACRO DOMAIN CONTAINING 1	human
